"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
269, -3.330059337171259e+01, -1.127029427287909e+02, 4.004001797259853e-01, 8.008003594519706e-01, 2.515604247132367e-06, 2.246051572078641e-06, 0.000000000000000e+00
270, -3.282928778764783e+01, -1.122874309631948e+02, 3.870002085064397e-01, 7.740004170128794e-01, 2.783293035087760e-06, 2.422893225785679e-06, 0.000000000000000e+00
271, -3.235279807847222e+01, -1.118778744494276e+02, 3.766212220014857e-01, 7.532424440029714e-01, 2.972674180173025e-06, 2.522795518750432e-06, 0.000000000000000e+00
272, -3.187119948743449e+01, -1.114743378612105e+02, 3.667680802518360e-01, 7.335361605036720e-01, 2.974130312520339e-06, 2.460414571214495e-06, 0.000000000000000e+00
273, -3.138456806453504e+01, -1.110768849216488e+02, 3.558206173305419e-01, 7.116412346610839e-01, 2.993417106607600e-06, 2.413658381112480e-06, 0.000000000000000e+00
274, -3.089298065451673e+01, -1.106855783931691e+02, 3.409849851427837e-01, 6.819699702855675e-01, 3.091805340090549e-06, 2.429517684735668e-06, 0.000000000000000e+00
275, -3.039651488473028e+01, -1.103004800676083e+02, 3.233432419570581e-01, 6.466864839141162e-01, 3.198151689601680e-06, 2.448711359788599e-06, 0.000000000000000e+00
276, -2.989524915287595e+01, -1.099216507564562e+02, 3.073763641944442e-01, 6.147527283888884e-01, 3.230972437352467e-06, 2.410047515524518e-06, 0.000000000000000e+00
277, -2.938926261462367e+01, -1.095491502812526e+02, 2.889823122488900e-01, 5.779646244977801e-01, 3.317989114426516e-06, 2.410660199089776e-06, 0.000000000000000e+00
278, -2.887863517111339e+01, -1.091830374641408e+02, 2.721608692308209e-01, 5.443217384616419e-01, 3.517897179842283e-06, 2.488966912638477e-06, 0.000000000000000e+00
279, -2.836344745633784e+01, -1.088233701185786e+02, 2.602610495560804e-01, 5.205220991121607e-01, 3.502414350370066e-06, 2.412546769444793e-06, 0.000000000000000e+00
280, -2.784378082440941e+01, -1.084702050402094e+02, 2.444252996359034e-01, 4.888505992718067e-01, 3.464970093130793e-06, 2.323100028056309e-06, 0.000000000000000e+00
